N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
2000,123,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.56,10,10.0,True,4,4,"{""0"": 3, ""1"": 5, ""2"": 0, ""3"": 3, ""4"": 14}",0.0421,72.0,0.36,0.72,0.9333,88.0,1292.6
2000,1337,0.007,0.001,5000,25,hyst_0.01,0.01,0,0.4,9,9.0,False,3,0,"{""0"": 10, ""1"": 6, ""2"": 0, ""3"": 7, ""4"": 2}",0.0127,80.0,0.48,1.0,0.9524,82.2,1275.6
2000,2024,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.6,7,7.0,False,4,3,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 7, ""4"": 15}",0.0057,64.0,0.32,0.76,0.9291,86.8,1284.1
2000,314,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.56,10,10.0,True,4,4,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 7, ""4"": 14}",0.0346,48.0,0.52,1.0,0.912,89.2,1291.2
2000,42,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.56,7,7.0,False,0,4,"{""0"": 5, ""1"": 4, ""2"": 0, ""3"": 2, ""4"": 14}",0.0112,72.0,0.4,0.84,0.9569,89.8,1287.1
2000,456,0.007,0.001,5000,25,hyst_0.01,0.01,1,0.36,8,8.0,False,1,4,"{""0"": 5, ""1"": 9, ""2"": 0, ""3"": 2, ""4"": 9}",0.0321,72.0,0.52,0.96,0.9365,83.8,1279.6
2000,55,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.56,6,6.0,True,4,4,"{""0"": 1, ""1"": 9, ""2"": 0, ""3"": 1, ""4"": 14}",0.0167,68.0,0.4,0.92,0.9555,90.7,1278.2
2000,7,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.4,14,14.0,False,4,1,"{""0"": 1, ""1"": 9, ""2"": 0, ""3"": 5, ""4"": 10}",0.0406,40.0,0.48,0.96,0.935,88.6,1292.3
2000,789,0.007,0.001,5000,25,hyst_0.01,0.01,1,0.4,8,8.0,False,1,3,"{""0"": 3, ""1"": 10, ""2"": 0, ""3"": 9, ""4"": 3}",0.0138,84.0,0.68,1.16,0.9225,84.1,1277.2
2000,999,0.007,0.001,5000,25,hyst_0.01,0.01,4,0.48,11,11.0,True,4,4,"{""0"": 1, ""1"": 7, ""2"": 3, ""3"": 2, ""4"": 12}",0.0043,72.0,0.4,0.84,0.9451,92.6,1289.2
2000,123,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.56,11,11.0,True,4,4,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 7, ""4"": 14}",0.0714,44.0,0.32,0.72,0.9463,84.9,1282.4
2000,1337,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.88,3,3.0,True,4,4,"{""0"": 2, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 22}",0.057,56.0,0.44,0.92,0.9478,86.8,1269.9
2000,2024,0.007,0.002,5000,25,hyst_0.01,0.01,3,0.36,11,11.0,False,4,3,"{""0"": 2, ""1"": 5, ""2"": 0, ""3"": 9, ""4"": 9}",0.0112,56.0,0.24,0.84,0.9424,88.9,1286.8
2000,314,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.6,9,9.0,True,4,4,"{""0"": 1, ""1"": 3, ""2"": 0, ""3"": 6, ""4"": 15}",0.0319,52.0,0.28,0.72,0.9477,85.2,1276.7
2000,42,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.84,5,5.0,True,4,4,"{""0"": 2, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 21}",0.0162,52.0,0.64,0.84,0.9306,83.4,1283.8
2000,456,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.68,5,5.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 4, ""4"": 17}",0.0223,56.0,0.48,0.96,0.9519,83.1,1283.1
2000,55,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.8,4,4.0,True,4,4,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 0, ""4"": 20}",0.0629,40.0,0.24,0.84,0.9214,91.4,1288.5
2000,7,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.44,7,7.0,False,4,3,"{""0"": 5, ""1"": 4, ""2"": 0, ""3"": 5, ""4"": 11}",0.0688,64.0,0.44,0.72,0.9545,86.4,1279.4
2000,789,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.44,14,14.0,False,1,4,"{""0"": 2, ""1"": 8, ""2"": 0, ""3"": 4, ""4"": 11}",0.0401,44.0,0.56,1.08,0.9365,86.1,1278.3
2000,999,0.007,0.002,5000,25,hyst_0.01,0.01,4,0.68,6,6.0,False,3,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 4, ""4"": 17}",0.0679,52.0,0.52,0.92,0.9295,91.1,1279.7
